Price,SuperBuild,BHK,Total_Sq_Ft,Floor
₹ 45.2 Lac,₹ 4000,"
3 BHK Apartment
",1130 sqft,New Property
₹ 48.5 Lac,₹ 3849,"
3 BHK Apartment
",1260 sqft,New Property
₹ 63.4 Lac,₹ 4600,"
3 BHK Apartment
",1379 sqft,New Property
₹ 79.2 Lac,₹ 5189,"
3 BHK Apartment
",1526 sqft,New Property
₹ 83.4 Lac,₹ 8050,"
3 BHK Apartment
",1036 sqft,New Property
₹ 21.3 Lac,₹ 2995,"
2 BHK Apartment
",710 sqft,New Property
₹ 56.6 Lac,₹ 4000,"
3 BHK Apartment
",1415 sqft,New Property
₹ 40.2 Lac,₹ 4600,"
2 BHK Apartment
",873 sqft,New Property
₹ 28.3 Lac,₹ 2750,"
3 BHK Apartment
",1029 sqft,New Property
₹ 68.4 Lac,₹ 5160,"
3 BHK Apartment
",1326 sqft,New Property
₹ 21.2 Lac,₹ 2582,"
2 BHK Apartment
",821 sqft,New Property
₹ 27.5 Lac,₹ 3050,"
2 BHK Apartment
",900 sqft,New Property
₹ 20.4 Lac,₹ 3535,"
1 BHK Apartment
",578 sqft,1 out of 3 floors
₹ 57 Lac,₹ 5089,"
2 BHK Apartment
",1120 sqft,4 out of 4 floors
₹ 41.6 Lac,₹ 4250,"
2 BHK Apartment
",978 sqft,4 out of 10 floors
₹ 67.2 Lac,0,"
3 BHK Apartment
",815 sqft,2 out of 13 floors
₹ 77.6 Lac,₹ 6026,"
3 BHK Apartment
",1287 sqft,New Property
₹ 27.8 Lac,₹ 3000,"
2 BHK Apartment
",927 sqft,4 out of 4 floors
₹ 36.2 Lac,₹ 3811,"
2 BHK Apartment
",950 sqft,New Property
₹ 46.3 Lac,₹ 5990,"
2 BHK Apartment
",773 sqft,2 out of 5 floors
₹ 45.5 Lac,₹ 3100,"
3 BHK Apartment
",1271 sqft,New Property
₹ 42 Lac,₹ 4000,"
2 BHK Apartment
",1051 sqft,New Property
₹ 80.6 Lac,₹ 4799,"
4 BHK Apartment
",1680 sqft,11 out of 11 floors
₹ 24.8 Lac,₹ 3100,"
2 BHK Apartment
",799 sqft,New Property
₹ 32.7 Lac,₹ 3600,"
2 BHK Apartment
",909 sqft,4 out of 4 floors
₹ 24.4 Lac,0,"
1 BHK Apartment
",414 sqft,New Property
₹ 72.8 Lac,₹ 4000,"
3 BHK Apartment
",1820 sqft,New Property
₹ 55 Lac,₹ 3729,"
3 BHK Apartment
",1475 sqft,3 out of 4 floors
₹ 26.4 Lac,₹ 3200,"
2 BHK Apartment
",825 sqft,New Property
₹ 33.6 Lac,₹ 3600,"
2 BHK Apartment
",933 sqft,New Property
₹ 87.4 Lac,0,"
3 BHK Apartment
",896 sqft,8 out of 13 floors
₹ 70 Lac,₹ 5384,"
3 BHK Apartment
",1300 sqft,4 out of 6 floors
₹ 24.9 Lac,₹ 3156,"
2 BHK Builder Floor
",790 sqft,Resale
₹ 24.6 Lac,₹ 4100,"
2 BHK Builder Floor
",600 sqft,Resale
₹ 59.3 Lac,0,"
3 BHK Apartment
",729 sqft,7 out of 12 floors
₹ 72.7 Lac,0,"
3 BHK Apartment
",740 sqft,10 out of 17 floors
₹ 26.2 Lac,₹ 3100,"
2 BHK Apartment
",845 sqft,1 out of 4 floors
₹ 90 Lac,₹ 5294,"
3 BHK Apartment
",1700 sqft,1 out of 5 floors
₹ 70 Lac,0,"
2 BHK Apartment
",863 sqft,12 out of 13 floors
₹ 34 Lac,0,"
2 BHK Apartment
",598 sqft,8 out of 14 floors
₹ 50.6 Lac,₹ 6283,"
2 BHK Apartment
",805 sqft,10 out of 12 floors
₹ 42 Lac,0,"
2 BHK Apartment
",637 sqft,10 out of 15 floors
₹ 65 Lac,₹ 5158,"
3 BHK Apartment
",1260 sqft,12 out of 12 floors
₹ 33.8 Lac,₹ 3600,"
2 BHK Apartment
",940 sqft,11 out of 15 floors
₹ 39 Lac,0,"
3 BHK Apartment
",735 sqft,5 out of 12 floors
₹ 66.2 Lac,₹ 4600,"
3 BHK Apartment
",1440 sqft,1 out of 4 floors
